URL,Route source,HTTP status,Canonical URL,Page type,Public or private,Indexable or noindex,Included in sitemap,Publisher content present,Content quality,Author identified,Reviewer identified,Source citations present,AdSense eligible after approval,Policy risk,Technical risk,Recommended action,Final action completed
https://energybilllab.com/,apps/web/src/app/page.tsx,200,https://energybilllab.com/,Home,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Technical Reviewer,Yes,Yes,None,Low,Keep and index,Kept and indexed
https://energybilllab.com/electricity-bill-analyzer,apps/web/src/app/electricity-bill-analyzer/page.tsx,200,https://energybilllab.com/electricity-bill-analyzer,Tool / Interactive,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Data Engineer,Yes,Yes,None,Low,Keep and index,Kept and indexed
https://energybilllab.com/tools,apps/web/src/app/tools/page.tsx,200,https://energybilllab.com/tools,Hub,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Editorial Team,Yes,No,None,Low,Improve and index,Refactored hub
https://energybilllab.com/electricity-rates,apps/web/src/app/electricity-rates/page.tsx,200,https://energybilllab.com/electricity-rates,Hub / Research,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Data Engineer,Yes,No,None,Low,Improve and index,Refactored hub
https://energybilllab.com/appliances,apps/web/src/app/appliances/page.tsx,200,https://energybilllab.com/appliances,Hub / Reference,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Technical Reviewer,Yes,No,None,Low,Improve and index,Refactored hub
https://energybilllab.com/guides,apps/web/src/app/guides/page.tsx,200,https://energybilllab.com/guides,Hub / Guides,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Editorial Team,Yes,No,None,Low,Improve and index,Refactored hub
https://energybilllab.com/comparisons,apps/web/src/app/comparisons/page.tsx,200,https://energybilllab.com/comparisons,Hub / Analysis,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Technical Reviewer,Yes,No,None,Low,Improve and index,Refactored hub
https://energybilllab.com/methodology,apps/web/src/app/methodology/page.tsx,200,https://energybilllab.com/methodology,Trust / Methodology,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Calculation Engine Lead,Yes,Yes,None,Low,Keep and index,Updated text & kept
https://energybilllab.com/data-sources,apps/web/src/app/data-sources/page.tsx,200,https://energybilllab.com/data-sources,Trust / Data,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Data Engineer,Yes,Yes,None,Low,Keep and index,Updated text & kept
https://energybilllab.com/about,apps/web/src/app/about/page.tsx,200,https://energybilllab.com/about,Trust / About,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Publisher,No,No,None,Low,Keep and index,Updated text & kept
https://energybilllab.com/contact,apps/web/src/app/contact/page.tsx,200,https://energybilllab.com/contact,Trust / Contact,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Support Team,No,No,None,Low,Keep and index,Explicit email added
https://energybilllab.com/editorial-policy,apps/web/src/app/editorial-policy/page.tsx,200,https://energybilllab.com/editorial-policy,Trust / Policy,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Managing Editor,Yes,Yes,None,Low,Keep and index,Kept and indexed
https://energybilllab.com/privacy,apps/web/src/app/privacy/page.tsx,200,https://energybilllab.com/privacy,Legal / Privacy,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Legal Reviewer,Yes,No,None,Low,Keep and index,Kept and indexed
https://energybilllab.com/cookies,apps/web/src/app/cookies/page.tsx,200,https://energybilllab.com/cookies,Legal / Cookie Policy,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Privacy Lead,Yes,No,None,Low,Keep and index,Kept and indexed
https://energybilllab.com/terms,apps/web/src/app/terms/page.tsx,200,https://energybilllab.com/terms,Legal / Terms,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Legal Reviewer,No,No,None,Low,Keep and index,Kept and indexed
https://energybilllab.com/disclaimer,apps/web/src/app/disclaimer/page.tsx,200,https://energybilllab.com/disclaimer,Legal / Disclaimer,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Legal Reviewer,Yes,No,None,Low,Keep and index,Kept and indexed
https://energybilllab.com/accessibility,apps/web/src/app/accessibility/page.tsx,200,https://energybilllab.com/accessibility,Legal / Accessibility,Public,Indexable,Yes,Yes,High,Energy Bill Lab Team,Accessibility Officer,No,No,None,Low,Keep and index,Explicit email added
